Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1µ,
C10,CP_Elec_6.3x5.4,1,10u,
C11,0603,1,1u,
"C3, C6, C7, C8, C9",0603,5,0.1u,
"D1, D2",SOT-23,2,BZX84Cxx,
D11,D_SMA,1,SS34,
"D3, D4, D5, D6, D8",0603,5,LED,
D7,D_SOD-123F,1,1N4007,
D9,0603,1,LED_Small,
F1,0805,1,Polyfuse,
"J1, J2",Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical,2,Conn_01x04_Socket,
"J3, J4",Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical,2,Conn_01x02_Socket,
K1,Relay_SPST_Omron_G2RL-1A,1,Relay_SPST-NO,
"Q1, Q2",SOT-23,2,2N7002,
"R1, R2",0603,2,4.8k,
"R10, R11, R12, R9",0603,4,62k,
"R13, R14, R15, R16, R28, R29, R31, R7, R8",0603,9,10K,
"R17, R24",0603,2,1k,
R18,0603,1,510,
R19,0603,1,750k,
R20,0603,1,13k,
"R21, R25, R30",0603,3,200,
R22,0603,1,68,
R23,0603,1,820,
R26,0603,1,220k,
R27,0603,1,18k,
"R3, R4, R5, R6",0603,4,39K,
TP2,TestPoint_Keystone_5000-5004_Miniature,1,TestPoint,
"U1, U2",SOIC-8_3.9x4.9mm_P1.27mm,2,LM393,
U3,SOT-23-6,1,74LVC1G11,
"U5, U8",SOT-23-6,2,74LVC1G332,
"U6, U7",TSOT-23-6,2,LTC6994xS6-1,
U9,TO-252-2,1,TPS7B88-Q1,
